City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Delhi,2018-05-01,104.77,201.42,19.94,48.84,68.78,17.09,1.68,16.53,35.33,0.86,8.49,1.1,238,Poor
Delhi,2018-05-02,110.83,203.63,23.46,49.1,72.56,10.25,1.98,16.4,36.8,2.31,5.08,0.52,250,Poor
Delhi,2018-05-03,98.58,182.3,23.05,52.12,75.17,8.17,1.61,15.86,38.26,2.92,2.98,1.9,225,Poor
Delhi,2018-05-04,84.96,168.13,19.51,47.25,66.76,14.1,1.35,15.87,36.36,0.54,8.46,0.28,203,Poor
Delhi,2018-05-05,103.07,192.56,22.56,54.76,77.32,31.6,1.46,17.9,27.78,2.08,2.74,1.17,233,Poor
Delhi,2018-05-06,113.96,193.91,23.81,53.51,77.32,5.58,1.69,17.52,37.3,1.24,9.24,0.5,244,Poor
Delhi,2018-05-07,92.03,166.23,21.42,52.32,73.74,19.65,1.33,16.24,42.79,0.76,4.23,2.24,206,Poor
Delhi,2018-05-08,87.56,176.47,23.38,46.5,69.88,28.61,1.58,11.45,38.83,1.49,8.41,1.37,224,Poor
Delhi,2018-05-09,101.5,211.38,19.37,47.58,66.95,20.55,1.66,17.48,43.21,0.76,8.98,1.59,235,Poor
Delhi,2018-05-10,108.11,200.4,21.86,50.95,72.81,15.49,1.63,15.09,43.2,3.51,8.11,0.64,247,Poor
Delhi,2018-05-11,109.75,203.81,21.86,46.97,68.83,28.24,1.81,13.16,36.71,2.93,6.6,0.22,240,Poor
Delhi,2018-05-12,103.26,193.26,22.88,52.98,75.86,32.84,1.42,17.19,39.44,1.09,4.78,1.35,217,Poor
Delhi,2018-05-13,105.06,199.71,23.86,48.89,72.75,30.4,1.81,16.61,41.44,4.14,3.4,2.29,250,Poor
Delhi,2018-05-14,98.51,167.41,24.15,53.55,77.7,34.54,1.34,17.47,40.01,4.22,1.0,0.58,209,Poor
Delhi,2018-05-15,95.38,174.83,23.89,52.35,76.24,20.25,1.55,18.48,39.24,1.41,7.0,2.1,223,Poor
Delhi,2018-05-16,108.24,203.66,20.24,47.51,67.75,26.79,1.64,16.96,37.92,4.46,1.64,1.26,241,Poor
Delhi,2018-05-17,93.62,182.28,23.4,51.58,74.98,5.16,1.46,13.61,42.79,3.45,0.91,2.26,205,Poor
Delhi,2018-05-18,82.98,153.71,22.88,48.18,71.06,31.59,1.33,14.36,29.62,2.71,5.0,1.3,204,Poor
Delhi,2018-05-19,89.91,147.14,26.9,60.23,87.13,23.1,1.33,14.87,44.17,3.08,9.76,0.88,189,Moderate
Delhi,2018-05-20,106.12,206.97,24.37,54.46,78.83,18.21,1.76,14.7,40.73,0.75,4.27,1.36,240,Poor
Delhi,2018-05-21,91.39,183.13,21.6,52.52,74.12,17.3,1.63,13.95,42.88,3.8,4.91,1.76,208,Poor
Delhi,2018-05-22,89.27,177.95,20.33,44.36,64.69,13.96,1.44,13.65,41.09,4.24,3.48,1.35,216,Poor
Delhi,2018-05-23,91.99,161.15,19.23,38.51,57.74,9.77,1.66,15.94,44.65,2.78,2.06,2.28,214,Poor
Delhi,2018-05-24,89.34,161.14,19.68,46.09,65.77,13.16,1.41,14.22,37.12,3.44,5.67,2.35,198,Moderate
Delhi,2018-05-25,86.05,139.72,26.1,53.54,79.64,6.57,1.38,17.47,38.27,1.94,3.49,2.22,203,Poor
Delhi,2018-05-26,87.33,175.29,19.62,44.67,64.29,8.42,1.46,20.83,39.39,0.77,3.09,0.83,210,Poor
Delhi,2018-05-27,95.97,154.61,22.82,50.25,73.07,7.45,1.48,16.86,38.71,2.12,6.07,0.58,204,Poor
Delhi,2018-05-28,84.01,177.6,25.39,57.08,82.47,29.19,1.28,13.93,38.3,2.12,1.1,2.38,195,Moderate
Delhi,2018-05-29,79.6,147.83,22.87,46.19,69.06,31.12,1.47,16.25,39.29,1.15,5.69,2.96,189,Moderate
Delhi,2018-05-30,85.5,149.33,23.42,50.33,73.75,29.66,1.25,17.76,37.98,1.77,9.42,2.9,194,Moderate
Delhi,2018-05-31,80.83,169.92,23.51,47.33,70.84,20.99,1.49,19.75,36.21,0.8,8.5,2.4,199,Moderate
Delhi,2018-06-01,99.27,169.38,24.05,48.94,72.99,24.63,1.43,16.97,35.94,0.77,5.56,1.88,215,Poor
Delhi,2018-06-02,93.31,156.7,21.54,51.81,73.35,5.38,1.39,13.88,37.25,2.56,6.57,2.19,195,Moderate
Delhi,2018-06-03,87.97,173.96,22.0,51.08,73.08,19.14,1.62,16.61,39.4,3.72,5.78,1.14,208,Poor
Delhi,2018-06-04,93.65,161.24,19.9,47.98,67.88,15.44,1.52,17.68,37.04,2.08,9.11,1.99,212,Poor
Delhi,2018-06-05,74.68,162.67,20.47,49.59,70.06,25.29,1.29,18.45,38.54,1.53,8.39,0.3,186,Moderate
Delhi,2018-06-06,84.96,163.37,20.77,48.1,68.87,11.38,1.22,17.74,38.51,0.25,4.0,1.99,195,Moderate
Delhi,2018-06-07,100.48,183.56,20.86,45.15,66.01,8.33,1.54,17.67,40.6,2.07,5.79,2.61,219,Poor
Delhi,2018-06-08,73.24,120.65,21.32,49.64,70.96,32.32,1.1,16.66,40.84,3.42,9.76,0.15,156,Moderate
Delhi,2018-06-09,84.5,140.92,23.76,52.64,76.4,7.9,1.29,15.23,35.42,1.16,0.64,1.46,181,Moderate
Delhi,2018-06-10,79.94,150.19,22.26,45.73,67.99,6.04,1.55,17.9,37.58,2.66,11.95,2.58,199,Moderate
Delhi,2018-06-11,77.27,148.17,24.7,51.39,76.09,31.37,1.29,18.33,40.57,2.62,6.45,1.35,183,Moderate
Delhi,2018-06-12,68.25,146.46,25.15,55.49,80.64,26.08,1.31,15.73,44.45,1.14,6.39,0.4,175,Moderate
Delhi,2018-06-13,88.95,140.74,23.21,51.7,74.91,24.02,1.56,16.29,40.44,0.41,3.43,1.15,204,Poor
Delhi,2018-06-14,76.78,136.25,19.93,47.23,67.16,20.5,1.2,13.19,31.98,0.12,0.59,0.74,174,Moderate
Delhi,2018-06-15,91.23,150.92,22.75,51.92,74.67,7.61,1.38,21.46,37.28,2.82,1.81,1.1,194,Moderate
Delhi,2018-06-16,87.68,178.93,24.44,49.76,74.2,26.42,1.22,14.58,30.79,2.77,4.06,2.49,198,Moderate
Delhi,2018-06-17,70.17,120.66,20.71,47.17,67.88,8.63,1.0,16.69,29.16,1.94,9.14,0.31,157,Moderate
Delhi,2018-06-18,75.04,144.65,23.89,51.77,75.66,32.4,1.37,13.82,37.61,2.8,10.55,2.2,177,Moderate
Delhi,2018-06-19,79.91,137.94,17.5,43.21,60.71,8.69,1.51,14.71,36.06,2.56,4.45,2.21,180,Moderate
Delhi,2018-06-20,87.5,149.42,25.07,57.1,82.17,28.95,1.43,13.61,42.0,3.72,10.36,2.76,193,Moderate
Delhi,2018-06-21,65.21,128.76,20.51,42.66,63.17,16.24,1.32,18.34,41.12,0.83,5.45,0.51,168,Moderate
Delhi,2018-06-22,80.42,152.83,25.62,55.58,81.2,23.17,1.18,14.88,31.27,1.7,3.01,2.97,173,Moderate
Delhi,2018-06-23,82.44,128.65,24.75,49.82,74.57,16.53,1.14,13.71,36.1,0.27,0.86,1.23,165,Moderate
Delhi,2018-06-24,84.07,144.53,24.45,48.82,73.27,13.65,1.16,17.39,42.69,4.33,4.98,1.22,172,Moderate
Delhi,2018-06-25,82.7,125.8,24.46,50.73,75.19,18.21,1.41,13.64,39.0,1.43,3.48,0.66,181,Moderate
Delhi,2018-06-26,74.16,119.94,23.64,52.99,76.63,17.05,1.22,13.85,46.3,4.47,10.62,1.91,173,Moderate
Delhi,2018-06-27,81.01,141.31,22.0,48.21,70.21,11.83,1.11,13.45,35.73,4.34,10.96,2.19,161,Moderate
Delhi,2018-06-28,84.53,156.54,24.09,48.43,72.52,9.46,1.28,16.54,40.49,2.14,11.78,1.5,190,Moderate
Delhi,2018-06-29,75.58,146.15,19.62,44.21,63.83,20.34,1.23,14.31,35.1,2.27,7.14,2.61,168,Moderate
Delhi,2018-06-30,77.5,144.13,25.3,52.58,77.88,18.17,1.2,17.11,37.21,3.83,10.77,0.28,172,Moderate
Delhi,2018-07-01,74.52,147.34,27.35,59.33,86.68,25.78,1.37,16.38,37.03,0.69,3.94,1.14,170,Moderate
Delhi,2018-07-02,76.41,141.19,24.59,52.05,76.64,28.07,1.18,17.45,35.43,3.0,9.31,2.55,163,Moderate
Delhi,2018-07-03,74.9,145.89,19.02,46.72,65.74,15.46,1.07,15.95,31.47,0.59,9.79,2.85,178,Moderate
Delhi,2018-07-04,64.32,115.51,19.85,46.73,66.58,13.43,1.08,17.32,31.57,3.64,11.19,1.27,143,Moderate
Delhi,2018-07-05,69.38,135.56,20.55,43.84,64.39,15.73,1.12,15.73,38.09,2.95,1.91,2.68,160,Moderate
Delhi,2018-07-06,56.65,119.77,26.1,54.96,81.06,29.12,0.82,16.42,41.23,2.53,6.48,0.51,126,Moderate
Delhi,2018-07-07,65.31,134.9,17.34,42.67,60.01,27.46,1.11,15.94,34.21,1.5,0.5,1.58,156,Moderate
Delhi,2018-07-08,74.2,142.33,22.83,46.53,69.36,14.4,1.12,14.68,32.62,3.57,10.76,1.36,166,Moderate
Delhi,2018-07-09,68.75,135.18,23.42,49.74,73.16,5.13,1.25,19.96,32.69,0.83,8.7,2.03,158,Moderate
Delhi,2018-07-10,76.62,131.94,24.28,48.74,73.02,20.01,1.3,17.23,37.44,2.0,5.76,0.71,171,Moderate
Delhi,2018-07-11,65.07,117.49,25.26,54.94,80.2,19.17,1.09,15.36,39.93,3.97,2.98,2.07,163,Moderate
Delhi,2018-07-12,68.67,121.69,22.12,46.39,68.51,10.98,1.12,14.26,33.24,4.02,3.81,1.17,146,Moderate
Delhi,2018-07-13,77.09,157.88,19.58,43.9,63.48,20.93,1.32,13.73,27.44,2.72,0.61,1.45,194,Moderate
Delhi,2018-07-14,77.93,125.5,22.41,54.46,76.87,5.51,1.25,17.43,39.75,3.49,9.78,0.45,170,Moderate
Delhi,2018-07-15,80.1,129.89,21.41,41.35,62.76,30.41,1.28,16.51,32.59,0.2,10.83,2.37,170,Moderate
Delhi,2018-07-16,80.87,118.07,18.97,46.69,65.66,33.73,0.98,15.79,37.3,4.25,9.53,2.97,166,Moderate
Delhi,2018-07-17,88.49,157.21,20.38,49.18,69.56,23.67,1.28,14.7,35.61,3.54,7.15,0.53,194,Moderate
Delhi,2018-07-18,83.99,158.77,20.73,45.94,66.67,31.7,1.1,14.38,37.06,3.21,1.22,0.53,177,Moderate
Delhi,2018-07-19,72.84,141.4,23.46,50.15,73.61,7.29,1.23,17.17,31.49,1.31,9.78,1.43,177,Moderate
Delhi,2018-07-20,67.82,95.61,21.76,48.93,70.69,22.81,1.0,15.14,31.61,0.42,7.66,2.95,136,Moderate
Delhi,2018-07-21,81.03,137.15,23.64,50.11,73.75,12.42,1.22,17.14,33.03,2.92,8.17,0.57,177,Moderate
Delhi,2018-07-22,86.7,151.95,23.64,50.0,73.64,7.86,1.39,13.5,41.53,1.99,0.84,1.49,192,Moderate
Delhi,2018-07-23,68.12,135.04,22.56,46.97,69.53,32.55,0.99,12.87,31.59,4.28,7.14,1.14,163,Moderate
Delhi,2018-07-24,74.72,109.53,22.53,53.57,76.1,6.17,1.18,13.58,38.06,0.26,2.52,2.61,160,Moderate
Delhi,2018-07-25,61.3,145.83,22.65,52.2,74.85,31.82,1.0,21.27,41.83,4.26,10.76,1.32,156,Moderate
